text,attitudes,comments,reposts
#垃圾分类#【两只捡垃圾的环保小卫士，乱扔垃圾的是不是要脸红了~】两只小可爱腊肠犬Hooch（胡奇）和Dudley（达德利），每天跟着主人捡垃圾。主人Amber Lednor（安伯·莱德诺），每天都会带着它们外出散步，在散步的同时，他们会捡起地上的各种垃圾，然后将其丢进垃圾桶里。,0,0,0
#垃圾分类# Yummy欣的秒拍视频,0,0,0
#垃圾分类# 【风口上的学院成立！网友：真正的“垃圾学院”】眼下，垃圾分类在很多地方即将实施，而如何将自己的垃圾分类处理好成为了很多人头疼的问题。近日，被称为国内首家的浙江台州垃圾分类公众教育学院成立！因为垃圾分类的第一个字和第三个字取谐音“拉风”，所以学院也叫“拉风”学院。站在垃 ...全文,0,0,0
#垃圾分类#听说改放碑开始垃圾分类了那就抓紧去小吃街吃点啥吧哈哈哈 重庆·锦丰汇花园小区,0,0,0
你觉得垃圾分类很难，请看看这些图。#上海垃圾分类##全民垃圾分类##垃圾分类#,0,0,0
我看了下，就算不是可回收垃圾（一般快递箱和一些沐浴的大瓶子我会单独扔），普通干垃圾里面百分之七八十也是塑料袋塑料纸等等。真的感觉塑料已经占领日常生活了。其它一些大多就是些用过的面巾纸，碎纸张。真的很单一。希望以后能进一步细化。#垃圾分类#,0,0,0
#垃圾分类# 对我最大的影响鸡肉卷里的洋葱，之前都要捡出来，垃圾分类后，忍了忍没吐出来。。之前煮红豆薏米汤，我只喝汤，不吃红豆，干湿分离后，把豆子捞出来当晚饭了。。买了一盒蓝莓，怕放到第二天有坏的，不好扔，一晚上吃光了。。也不做饭了，也不叫外卖了。。。。,0,0,0
当你觉得垃圾分类很难。请看看这些图片。#上海垃圾分类##垃圾分类# ？#下一个城市全民垃圾分类。#,0,0,0
垃圾箱还不让人放垃圾了看来这个垃圾箱只能放工业垃圾、建筑垃圾？如果我改天放点水泥砖头进去 ，是不是要贴“禁止放垃圾”？#垃圾分类# 潍坊,0,0,0
#垃圾分类# 我在想 垃圾分类以后会不会出现在高考题里 ....,0,0,0
#垃圾分类# #垃圾分类挑战# #垃圾分类就是新时尚# 怎么感觉跟看管犯人似的。,0,0,0
#垃圾分类# 今天你垃圾分类了吗？ 中通云仓科技的微博视频,0,0,0
#太原身边事##垃圾分类#【新规来了！在太原个人如未按规定投放最高罚款200元】目前，太原市正在制定生活垃圾分类试点的实施方案，将主要用于迎泽区、小店区的垃圾分类直运标杆试点小区的推进，初步选定小店区平阳景苑小区等10个片区开展定点投放、垃圾直运试点，并取消街面垃圾桶。同时，选定迎 ...全文,0,0,1
#垃圾分类# 包了狗屎的纸是什么垃圾？？真刺激,0,0,0
#垃圾分类# 一桌海鲜变成了湿垃圾#被风吹过的夏天# 北京 Panda小先的微博视频,1,2,0
#长沙旅游# #长沙旅游攻略# #防洪防汛# #垃圾分类# #垃圾处理#,0,0,0
#垃圾分类#要从自身做起~！,0,0,0
啊啊啊啊啊啊啊啊你快给我出来我一定要喝干净#垃圾分类#,0,0,0
我jio的～现在产品设计包装的时候可以顺便标注下外包装垃圾属性了#垃圾分类#,1,0,0
办公室用粘鼠板粘了一只老鼠，属于什么垃圾，难道还要把老鼠和粘鼠板分开🙃🙃🙃#垃圾分类#,0,0,0
【#垃圾分类# 进行时，快递企业先行】垃圾分类政策实施后，企业也认准商机推出相应产品。近日，北京商报记者注意到，有企业拟推出一款快递垃圾回收机器，该机器可通过“人机结合”的方式有效的回收快递包装等垃圾。实际上，在垃圾分类政策实施前，已有不少快递企业开始着手行业绿色化，并推出相应计划 ...全文,0,0,0
#垃圾分类##瓶盖挑战#,1,0,0
#垃圾分类# 进口垃圾！！！,0,0,0
#垃圾分类#少吃点比什么都还好🤷🏻♀️,0,0,0
#申论热点# #垃圾分类# 【公务员考试申论热点：垃圾分类】随着城市发展的加速，城市垃圾越来越多，一些城市甚至出现了“垃圾围墙”的隐忧。垃圾分类投放和回收利用是减少垃圾和垃圾资源化的有效方法，也是城市垃圾治理的大方向.......,1,0,1
#垃圾分类#垃圾被抽查比上课被老师点名还可怕，点名答不上顶多罚站，垃圾抽查不合格直接罚款。 上海,0,0,0
听说我高中也开始垃圾分类了 其实我记得一开始就有 但每个垃圾箱都贴的是不同的英文 我就能看懂只一个叫paper.. 而且每个角落只有一种垃圾箱 所以没什么意义 现在换成中文且每个角落不止一个了 不错不错#垃圾分类#,1,0,0
#垃圾分类#垃圾被抽查比上课被老师点名还可怕，点名答不上顶多罚站，垃圾抽查不合格直接罚款。 上海,0,0,0
#垃圾分类##垃圾分类挑战##垃圾分类就是新时尚# 垃圾分类，从我做起 南昌,0,0,0
婚礼堵门分享#垃圾分类#——————————————婚礼时，为什么要堵门古人比较讲究孝道女儿出嫁就是别人家的了所以堵门代表不舍得女儿是吉祥的垃圾分类成了堵门游戏人生到达了新高度#婚礼接亲堵门游戏# 婚礼司仪万波的微博视频,3,0,0
#垃圾分类# 4⃣️在韩国，地铁里只分可回收物和一般垃圾，但是小区里分得很细: 纸，塑料，玻璃瓶，罐头，都是可回收的，饮食垃圾和一般垃圾要买专门的垃圾袋装，扔家具家电的话要买个条贴上。 微博视频 #垃圾分类#,0,0,0
#垃圾分类# 2⃣️在韩国，地铁里只分可回收物和一般垃圾，但是小区里分得很细: 纸，塑料，玻璃瓶，罐头，都是可回收的，饮食垃圾和一般垃圾要买专门的垃圾袋装，扔家具家电的话要买个条贴上。 微博视频 #垃圾分类#,0,0,0
#垃圾分类# 3⃣️在韩国，地铁里只分可回收物和一般垃圾，但是小区里分得很细: 纸，塑料，玻璃瓶，罐头，都是可回收的，饮食垃圾和一般垃圾要买专门的垃圾袋装，扔家具家电的话要买个条贴上。 微博视频 #垃圾分类#,0,0,0
点外面 然后吃不完 真的太痛苦了💣💣#垃圾分类#,0,0,0
#垃圾分类# 让我们看看邻国韩国民众的日常垃圾分类……待续 微博视频 #垃圾分类#,0,1,0
突然想到一个主意，如果##5g手机#和#AI识别# 以及#垃圾分类# 结合绝对会大卖! ps:本图和文字无关,0,0,0
大家好我是国内第一名职业垃圾分类员，加入我的团队，我带你发财#垃圾分类#,0,1,0
#瑞典出现垃圾不够用的状况# 虽然国情不同，但是那99％的垃圾回收率，让我们看到了#垃圾分类# 的重要作用。,0,0,0
有没上海的小姐姐教下垃圾分类呢？（明天就要去上海玩的我）沾上冰激凌的纸怎么办。。。沾上油的包装纸怎么办。。。奶茶怎么办。。。#垃圾分类#垃圾分类超话,0,4,0
#垃圾分类##淮北#太好了太好了，我们家楼下还没有垃圾分类的垃圾桶，希望不要波及我们家，不然我只能滚去蚌埠,0,0,0
#垃圾分类挑战##垃圾分类#今日份垃圾分类在线沙雕营业,2,6,0
#垃圾分类# 曾經，我吃完一份外賣是因為我真的餓了。如今，是我餓了之餘我還不想垃圾分類。一根菜一根蔥我都不敢有剩。,0,0,0
#我在西安上学# 【西安交大崇实书院发布垃圾分类主题微电影《崇实·重拾》】日前，为响应国家号召，倡导低碳生活，营造文明和谐的社会环境，@西安交通大学 崇实书院发布垃圾分类微电影《崇实·重拾》，积极推进垃圾分类工作，倡议师生行动起来，积极自觉做好垃圾分类工作，做改善环境的先行者、保护环境 ...全文,1,1,0
#垃圾分类# 集合表，码了,1,0,0
"#保护环境##垃圾分类##暑假三下乡##三下乡,大学生志愿者在行动#镜头里的三下乡超话镜头里的三下乡超话 “携儿童保护环境·为绿化添砖加瓦”活动在昨天社区居民、儿童的积极参与下，迎来了今天的后续。信息技术分院暑期“三下乡”全体队员和小朋友们一起将变身后的轮胎种上绿植并摆放在社区 ...全文",0,1,1
我，在苏州#垃圾分类# 价格可以谈,0,0,0
【沈阳垃圾分类获得积分 可在超市消费兑换日用品】垃圾分类的工作已经陆续在沈阳各大小区开展起来，沈河区山东庙街道三八南社区，居民垃圾分类就能获得积分，可在超市消费兑换日用品，这种做法赢得了居民的认可。对于#垃圾分类# ，你还有什么宣传方法吗？欢迎留言告诉北国君哦！沈阳垃圾分类获得积分可在超市消费兑换日用品,0,1,0
